Name,Party,State,District,Title,Website,Facebook,Twitter
Gilbert Cisneros,D,CA,CA_39,Representative,https://cisneros.house.gov/,,RepGilCisneros
Katherine Clark,D,MA,MA_05,Representative,https://katherineclark.house.gov,CongresswomanClark,RepKClark
Yvette Clarke,D,NY,NY_09,Representative,https://clarke.house.gov,repyvettedclarke,RepYvetteClarke
William Clay,D,MO,MO_01,Representative,https://lacyclay.house.gov,109135405838588,
Emanuel Cleaver,D,MO,MO_05,Representative,https://cleaver.house.gov,emanuelcleaverii,RepCleaver
Ben Cline,R,VA,VA_06,Representative,https://cline.house.gov/,,RepBenCline
Michael Cloud,R,TX,TX_27,Representative,https://cloud.house.gov/,,RepCloudTX
James Clyburn,D,SC,SC_06,Representative,https://clyburn.house.gov,jameseclyburn,WhipClyburn
Steve Cohen,D,TN,TN_09,Representative,https://cohen.house.gov,CongressmanSteveCohen,RepCohen
Tom Cole,R,OK,OK_04,Representative,https://cole.house.gov,TomColeOK04,TomColeOK04
Doug Collins,R,GA,GA_09,Representative,https://dougcollins.house.gov,RepresentativeDougCollins,RepDougCollins
Chris Collins,R,NY,NY_27,Representative,https://chriscollins.house.gov,RepChrisCollins,RepChrisCollins
James Comer,R,KY,KY_01,Representative,https://comer.house.gov,congressmancomer,
K. Conaway,R,TX,TX_11,Representative,https://conaway.house.gov,mike.conaway,ConawayTX11
Gerald Connolly,D,VA,VA_11,Representative,https://connolly.house.gov,CongressmanGerryConnolly,GerryConnolly
Paul Cook,R,CA,CA_08,Representative,https://cook.house.gov,RepPaulCook,RepPaulCook
Jim Cooper,D,TN,TN_05,Representative,https://cooper.house.gov,JimCooper,RepJimCooper
J. Correa,D,CA,CA_46,Representative,https://correa.house.gov,RepLouCorrea,reploucorrea
Jim Costa,D,CA,CA_16,Representative,https://costa.house.gov,RepJimCosta,RepJimCosta
Joe Courtney,D,CT,CT_02,Representative,https://courtney.house.gov,joecourtney,RepJoeCourtney
TJ Cox,D,CA,CA_21,Representative,https://cox.house.gov/,,RepTjCox
Angie Craig,D,MN,MN_02,Representative,https://craig.house.gov/,,RepAngieCraig
Rick Crawford,R,AR,AR_01,Representative,https://crawford.house.gov,RepRickCrawford,RepRickCrawford
Dan Crenshaw,R,TX,TX_02,Representative,https://crenshaw.house.gov/,,RepDanCrenshaw
Charlie Crist,D,FL,FL_13,Representative,https://crist.house.gov,RepCharlieCrist,repcharliecrist
Jason Crow,D,CO,CO_06,Representative,https://crow.house.gov/,,RepJasonCrow
Henry Cuellar,D,TX,TX_28,Representative,https://cuellar.house.gov,152569121550,RepCuellar
Elijah Cummings,D,MD,MD_07,Representative,https://cummings.house.gov,elijahcummings,RepCummings
Joe Cunningham,D,SC,SC_01,Representative,https://cunningham.house.gov/,,RepCunningham
John Curtis,R,UT,UT_03,Representative,https://curtis.house.gov,RepJohnCurtis,RepJohnCurtis
Sharice Davids,D,KS,KS_03,Representative,https://davids.house.gov/,,RepDavids
Warren Davidson,R,OH,OH_08,Representative,https://davidson.house.gov,CongressmanWarrenDavidson,WarrenDavidson
Danny Davis,D,IL,IL_07,Representative,https://davis.house.gov,CongressmanDKDavis,RepDannyDavis
Rodney Davis,R,IL,IL_13,Representative,https://rodneydavis.house.gov,RepRodneyDavis,RodneyDavis
Susan Davis,D,CA,CA_53,Representative,https://susandavis.house.gov,RepSusanDavis,RepSusanDavis
Madeleine Dean,D,PA,PA_04,Representative,https://dean.house.gov/,,RepDean
Peter DeFazio,D,OR,OR_04,Representative,https://defazio.house.gov,RepPeterDeFazio,RepPeterDeFazio
Diana DeGette,D,CO,CO_01,Representative,https://degette.house.gov,DianaDeGette,RepDianaDeGette
Rosa DeLauro,D,CT,CT_03,Representative,https://delauro.house.gov,CongresswomanRosaDeLauro,RosaDeLauro
Suzan DelBene,D,WA,WA_01,Representative,https://delbene.house.gov,RepDelBene,RepDelBene
Antonio Delgado,D,NY,NY_19,Representative,https://delgado.house.gov/,,repdelgado
Val Demings,D,FL,FL_10,Representative,https://demings.house.gov,RepresentativeValDemings,RepValDemings
Mark DeSaulnier,D,CA,CA_11,Representative,https://desaulnier.house.gov,RepMarkDeSaulnier,RepDeSaulnier
Scott DesJarlais,R,TN,TN_04,Representative,https://desjarlais.house.gov,ScottDesJarlaisTN04,DesJarlaisTN04
Ted Deutch,D,FL,FL_22,Representative,https://teddeutch.house.gov,CongressmanTedDeutch,RepTedDeutch
Mario Diaz-Balart,R,FL,FL_25,Representative,https://mariodiazbalart.house.gov,mdiazbalart,MarioDB
Debbie Dingell,D,MI,MI_12,Representative,https://debbiedingell.house.gov,RepDebbieDingell,RepDebDingell
Lloyd Doggett,D,TX,TX_35,Representative,https://doggett.house.gov,lloyddoggett,RepLloydDoggett
Mike Doyle,D,PA,PA_18,Representative,https://doyle.house.gov,usrepmikedoyle,USRepMikeDoyle
Sean Duffy,R,WI,WI_07,Representative,https://duffy.house.gov,RepSeanDuffy,RepSeanDuffy
Jeffrey Duncan,R,SC,SC_03,Representative,https://jeffduncan.house.gov,RepJeffDuncan,RepJeffDuncan
Neal Dunn,R,FL,FL_02,Representative,https://dunn.house.gov,drnealdunnfl2,drnealdunnfl2
Tom Emmer,R,MN,MN_06,Representative,https://emmer.house.gov,reptomemmer,RepTomEmmer
Eliot Engel,D,NY,NY_16,Representative,https://engel.house.gov,RepEliotLEngel,RepEliotEngel
Veronica Escobar,D,TX,TX_16,Representative,https://escobar.house.gov/,,RepEscobar
Anna Eshoo,D,CA,CA_18,Representative,http://eshoo.house.gov,RepAnnaEshoo,RepAnnaEshoo
Adriano Espaillat,D,NY,NY_13,Representative,https://espaillat.house.gov,RepEspaillat,RepEspaillat
Ron Estes,R,KS,KS_04,Representative,https://estes.house.gov,RepRonEstes,RepRonEstes
Dwight Evans,D,PA,PA_03,Representative,https://evans.house.gov,RepDwightEvans,RepDwightEvans
A. Ferguson,R,GA,GA_03,Representative,https://ferguson.house.gov,RepDrewFerguson,RepDrewFerguson
Abby Finkenauer,D,IA,IA_01,Representative,https://finkenauer.house.gov/,,RepFinkenauer
Brian Fitzpatrick,R,PA,PA_01,Representative,https://fitzpatrick.house.gov,repbrianfitzpatrick,repbrianfitz
Chuck Fleischmann,R,TN,TN_03,Representative,https://fleischmann.house.gov,repchuck,RepChuck
Lizzie Fletcher,D,TX,TX_07,Representative,https://fletcher.house.gov/,,RepFletcher
Bill Flores,R,TX,TX_17,Representative,https://flores.house.gov,RepBillFlores,RepBillFlores
Jeff Fortenberry,R,NE,NE_01,Representative,https://fortenberry.house.gov,jefffortenberry,JeffFortenberry
Bill Foster,D,IL,IL_11,Representative,https://foster.house.gov,CongressmanBillFoster,RepBillFoster
Virginia Foxx,R,NC,NC_05,Representative,https://foxx.house.gov,RepVirginiaFoxx,VirginiaFoxx
Lois Frankel,D,FL,FL_21,Representative,https://frankel.house.gov,RepLoisFrankel,RepLoisFrankel
Marcia Fudge,D,OH,OH_11,Representative,https://fudge.house.gov,RepMarciaLFudge,RepMarciaFudge
Russ Fulcher,R,ID,ID_01,Representative,https://fulcher.house.gov/,,RepRussFulcher
Tulsi Gabbard,D,HI,HI_02,Representative,https://gabbard.house.gov,RepTulsiGabbard,TulsiPress
Matt Gaetz,R,FL,FL_01,Representative,https://gaetz.house.gov,CongressmanMattGaetz,RepMattGaetz
Mike Gallagher,R,WI,WI_08,Representative,https://gallagher.house.gov,RepMikeGallagher,RepGallagher
Ruben Gallego,D,AZ,AZ_07,Representative,https://rubengallego.house.gov,RepRubenGallego,RepRubenGallego
John Garamendi,D,CA,CA_03,Representative,https://garamendi.house.gov,repgaramendi,RepGaramendi
Sylvia Garcia,D,TX,TX_29,Representative,https://sylviagarcia.house.gov/,,RepSylviaGarcia
Jesús García,D,IL,IL_04,Representative,https://chuygarcia.house.gov/,,RepChuyGarcia
Greg Gianforte,R,MT,MT_AL,Representative,https://gianforte.house.gov,RepGianforte,
Bob Gibbs,R,OH,OH_07,Representative,https://gibbs.house.gov,RepBobGibbs,RepBobGibbs
Louie Gohmert,R,TX,TX_01,Representative,https://gohmert.house.gov,50375006903,RepLouieGohmert
Jared Golden,D,ME,ME_02,Representative,https://golden.house.gov,,repgolden
Jimmy Gomez,D,CA,CA_34,Representative,https://gomez.house.gov,RepJimmyGomez,RepJimmyGomez
Anthony Gonzalez,R,OH,OH_16,Representative,https://anthonygonzalez.house.gov/,,RepAGonzalez
Vicente Gonzalez,D,TX,TX_15,Representative,https://gonzalez.house.gov,USCongressmanVicenteGonzalez,RepGonzalez
Jenniffer González-Colón,R,PR,PR_AL,Resident Commissioner,https://gonzalez-colon.house.gov,RepJennifferGonzalezColon,repjenniffer
Lance Gooden,R,TX,TX_05,Representative,https://gooden.house.gov/,,RepLanceGooden
Paul Gosar,R,AZ,AZ_04,Representative,https://gosar.house.gov,repgosar,RepGosar
Josh Gottheimer,D,NJ,NJ_05,Representative,https://gottheimer.house.gov,RepJoshG,RepJoshG
Kay Granger,R,TX,TX_12,Representative,https://kaygranger.house.gov,RepKayGranger,RepKayGranger
Tom Graves,R,GA,GA_14,Representative,https://tomgraves.house.gov,reptomgraves,RepTomGraves
Garret Graves,R,LA,LA_06,Representative,https://garretgraves.house.gov,CongressmanGarretGraves,RepGarretGraves
Sam Graves,R,MO,MO_06,Representative,https://graves.house.gov,118514606128,RepSamGraves
Al Green,D,TX,TX_09,Representative,https://algreen.house.gov,repalgreen,RepAlGreen
Mark Green,R,TN,TN_07,Representative,https://markgreen.house.gov,,RepMarkGreen
Morgan Griffith,R,VA,VA_09,Representative,https://morgangriffith.house.gov,RepMorganGriffith,RepMGriffith
Raúl Grijalva,D,AZ,AZ_03,Representative,https://grijalva.house.gov,Rep.Grijalva,RepraulGrijalva
Glenn Grothman,R,WI,WI_06,Representative,https://grothman.house.gov,RepGrothman,RepGrothman
Michael Guest,R,MS,MS_03,Representative,https://guest.house.gov/,,RepMichaelGuest
Brett Guthrie,R,KY,KY_02,Representative,https://guthrie.house.gov,CongressmanGuthrie,RepGuthrie
Debra Haaland,D,NM,NM_01,Representative,https://haaland.house.gov/,,RepDebHaaland
Jim Hagedorn,R,MN,MN_01,Representative,https://hagedorn.house.gov/,,RepHagedorn
Josh Harder,D,CA,CA_10,Representative,https://harder.house.gov/,,RepJoshHarder
Andy Harris,R,MD,MD_01,Representative,https://harris.house.gov,AndyHarrisMD,RepAndyHarrisMD
